,sku,Units,Lines,unitspercase
0,YP04902679,517,453,2
1,YP04859301,469,397,8
2,YP04859298,453,390,8
3,YP04859302,441,371,8
4,AB74145069,1837,361,24
5,AB93378477,1702,351,24
6,YP04713713,1236,351,8
7,KB15871622,1270,348,12
8,KB16345157,733,345,24
9,YP04572002,552,328,8
10,KB16345173,716,328,24
11,AB93378587,1672,323,24
12,AB73250049,1519,322,30
13,KB16345131,667,320,24
14,YP04902679_f,390,318,21
15,LB17916611,561,317,6
16,AP04897379,410,317,4
17,SP04798850,365,317,30
18,KB15234395,681,316,6
19,LB17916572,508,315,6
20,LB17916598,590,310,12
21,AB73579649,1932,308,80
22,MB66081623,504,302,20
23,MB89979204,1309,290,66
24,AP04930278,420,289,18
25,AB93378367,1832,288,24
26,YP04859298_f,319,287,21
27,YP04859301_f,365,286,21
28,AP04900221,345,284,10
29,KP04864356,324,284,10
30,MB68634926,416,284,48
31,AB93377986,1600,283,48
32,SP04748455,335,281,10
33,KB15234120,566,279,6
34,KB15871622_f,1017,276,21
35,AB74145069_f,1365,275,21
36,KB15871648,1282,275,12
37,SB27767591,569,273,60
38,KB15871567,947,272,12
39,LP04937868,340,272,3
40,KB16345212,597,271,20
41,YP04859302_f,337,270,21
42,KB16345157_f,581,269,21
43,KB15871509,916,269,12
44,YP04713713_f,997,268,21
45,SB22244116,634,267,30
46,LB16733840,644,266,6
47,AB73250094,1449,266,30
48,AB93378477_f,1230,264,21
49,AB93378008,1657,264,48
50,SB28267663,299,263,144
51,SB28267676,546,260,144
52,YP04921096,308,259,12
53,YP04903291,301,257,2
54,KB15234395_f,505,256,21
55,MB78980822,1523,255,20
56,YP04572001,337,254,8
57,SB22244103,316,253,30
58,KB16345131_f,530,253,21
59,LB17973492,700,252,6
60,KB16345173_f,538,251,21
61,SB28267689,566,250,144
62,AB86711601,1521,250,48
63,SB28267692,297,249,144
64,MB66082389,367,246,20
65,LB16734441,538,246,4
66,SP04798850_f,289,245,21
67,LB17916598_f,488,245,21
68,AB93378587_f,1293,243,21
69,YP04543592,309,243,21
70,YP04572002_f,384,242,21
71,KB15234311,737,242,6
72,AB73579623,1629,239,80
73,LB17916637,409,238,6
74,MB66077352,374,238,18
75,YP04921091,262,238,16
76,MB66455123,512,236,36
77,SB27767546,649,236,60
78,SP04768801,254,234,12
79,SP04768800,246,234,12
80,MB66083812,271,233,20
81,AB92079007,1270,233,48
82,SP04768777,253,233,12
83,LB16734409,513,233,4
84,SP04768778,257,233,12
85,SP04768809,264,232,12
86,AB73579649_f,1434,232,21
87,LP04937869,294,232,3
88,SP04768810,275,231,12
89,SB26964159,455,231,65
90,SP04785886,270,230,16
91,KP04918733,266,230,6
92,SP04677555,254,230,24
93,SP04768712,248,228,12
94,SP04768811,255,227,12
95,AP04897379_f,297,227,21
96,LB17916611_f,388,226,21
97,KB15234120_f,473,225,21
98,AB86711753,1546,225,48
99,MB89979204_f,1030,225,21
100,AB93378244,1095,223,48
101,MB66078445,423,223,18
102,AB87183982,1410,222,108
103,SP04768799,250,222,12
104,KB15871648_f,1018,222,21
105,SB26964434,445,221,80
106,YP04543623,261,221,21
107,MB66081623_f,362,220,21
108,KB16345199,462,219,20
109,LB15815798,696,218,10
110,MB66078717,322,218,18
111,KB15871567_f,747,216,21
112,LB17916572_f,346,215,21
113,AB73250049_f,987,215,21
114,AP04900221_f,260,214,21
115,MB89979246,866,214,42
116,MB66077938,438,213,18
117,MB93482114,892,213,48
118,MB90481082,871,213,42
119,KB15234230,468,213,6
120,LB17791807,701,213,12
121,LB17404783,440,212,4
122,SP04768713,244,212,12
123,AP04846802,728,211,15
124,YB27249514,309,210,60
125,MB89982068,838,210,42
126,AB88718903,334,210,20
127,AB93378008_f,1297,209,21
128,KB15373188,467,209,6
129,LB16411340,548,208,6
130,MB78980822_f,1213,208,21
131,LB16733468,488,208,6
132,SP04775615,244,208,12
133,LB16733523,520,207,6
134,KB15871509_f,659,207,21
135,SP04904984,223,207,16
136,MB66081539,288,207,20
137,AP04930579,593,206,24
138,MB93450007,643,206,48
139,YP04543645,231,206,21
140,MB66078199,498,205,18
